132,A922 XB,Aethra,binzeletal2019/132_20050905.csv,2005-09-05T09:01:34,2005-09-05T09:39:59,15,1800,21 30 02.3,20 23 37,1.001,2.741,3.617,15,9.1,s110361 s113276
433,A898 PA,Eros,binzeletal2019/433_20020817.csv,2002-08-17T11:57:48,2002-08-17T12:26:23,14,1050,23 37 32.7,12 40 54,1.01,0.769,1.687,12.4,21.6,-
512,A903 MC,Taurinensis,binzeletal2019/512_20041016.csv,2004-10-16T13:24:48,2004-10-16T14:06:55,14,1680,06 01 16.3,13 38 12,1.056,1.208,1.84,13.7,30,-
699,A910 LC,Hela,binzeletal2019/699_20050108.csv,2005-01-08T09:30:07,2005-01-08T09:59:43,15,1800,07 31 51.4,04 36 58,1.084,2.197,3.148,16.4,5.5,s93101 sFS13 sHYA64
719,A911 TB,Albert,binzeletal2019/719_20010823.csv,2001-08-23T13:37:44,2001-08-23T14:00:45,14,1680,01 07 14.8,27 34 38,1.012,0.292,1.192,15,45.9,-
887,A918 AA,Alinda,binzeletal2019/887_20120828.csv,2012-08-28T10:17:45,2012-08-28T10:57:11,18,2160,+22 30 27.6,-20 38 04,1.312,1.564,2.562,16.9,4.3,-
1011,A924 AC,Laodamia,binzeletal2019/1011_20020112.csv,2002-01-12T14:57:39,2002-01-12T15:34:58,15,1800,11 38 16.5,03 48 30,1.048,0.837,1.568,14.7,33.4,-
1036,A924 UB,Ganymed,binzeletal2019/1036_20111201.csv,2011-12-01T06:57:23,2011-12-01T07:08:02,16,320,+02 21 37.9,-07 11 28,1.173,0.702,1.578,10.6,24.8,s1021081 s115271 s93101 s98978 sHYA64
1131,1929 RO,Porzia,binzeletal2019/1131_20040219.csv,2004-02-19T09:31:31,2004-02-19T09:53:35,21,1890,09 43 18.6,17 22 51,1.013,1.793,2.774,16.7,3,-
1139,1929 XE,Atami,binzeletal2019/1139_20050905.csv,2005-09-05T11:43:22,2005-09-05T12:25:19,16,1920,00 59 39.4,24 26 55,1.015,0.731,1.621,14.2,25.2,s110361 s113276
1198,1931 RA,Atlantis,binzeletal2019/1198_20021028.csv,2002-10-28T11:43:49,2002-10-28T12:11:44,16,1920,02 04 58.5,17 49 20,1.104,0.659,1.651,14.8,2.9,-
1204,1931 TE,Renzia,binzeletal2019/1204_20050310.csv,2005-03-10T10:45:19,2005-03-10T11:45:53,16,1920,11 31 05.9,04 02 01,1.04,1.779,2.772,15.5,0.8,s1021081
1310,1932 DB,Villigera,binzeletal2019/1310_20060501.csv,2006-05-01T07:09:36,2006-05-01T07:48:47,16,1920,10 22 27.7,08 58 46,1.056,1.536,2.146,15.2,25.5,s1021081 s1021081 s10556 s10556
1374,1935 UA,Isora,binzeletal2019/1374_20040220.csv,2004-02-20T09:48:15,2004-02-20T10:25:50,15,1800,08 09 41.5,18 44 16,1.053,1.612,2.514,17.1,11.5,-
1468,1938 PA,Zomba,binzeletal2019/1468_20030930.csv,2003-09-30T05:32:15,2003-09-30T06:27:01,20,2400,18 57 10.1,-19 39 46,1.331,1.14,1.604,15.5,38.3,-
1508,1938 UP,Kemi,binzeletal2019/1508_20040219.csv,2004-02-19T12:52:28,2004-02-19T13:29:41,15,1800,12 02 53.4,46 27 00,1.123,0.886,1.747,14.1,22.5,-
1565,1948 WA,Lemaitre,binzeletal2019/1565_20050303.csv,2005-03-03T07:30:42,2005-03-03T08:57:26,16,1920,09 05 22.1,-14 52 56,1.283,1.921,2.791,17,11.8,s10556 s107684 sHYA64
1566,1949 MA,Icarus,binzeletal2019/1566_20050610.csv,2005-06-10T14:08:05,2005-06-10T15:10:47,15,1800,20 46 27.7,-23 19 11,1.374,0.348,1.273,16.6,36.6,-
1580,1950 KA,Betulia,binzeletal2019/1580_20020601.csv,2002-06-01T07:23:07,2002-06-01T07:59:56,15,1800,12 50 12.5,09 53 06,1.039,0.242,1.141,13.9,52.9,-
1620,1951 RA,Geographos,binzeletal2019/1620_20010129.csv,2001-01-29T10:34:37,2001-01-29T11:02:19,15,1800,08 39 04.2,41 40 00,1.078,0.431,1.39,15.4,16.7,-
1627,1929 SH,Ivar,binzeletal2019/1627_20081002.csv,2008-10-02T13:48:37,2008-10-02T14:26:05,16,1920,+04 12 54.0,+03 40 11,1.041,0.768,1.578,14.4,31,-
1640,1951 QA,Nemo,binzeletal2019/1640_20050308.csv,2005-03-08T10:28:10,2005-03-08T11:50:12,16,1920,10 42 14.5,11 02 54,1.021,2.072,3.054,17.6,3.3,s1021081 s10556 s107684
1685,1948 OA,Toro,binzeletal2019/1685_20050309.csv,2005-03-09T13:11:16,2005-03-09T13:51:44,16,1920,12 52 46.9,-27 36 11,1.563,0.799,1.69,15.9,21.7,s1021081 s10556 s107684
1862,1932 HA,Apollo,binzeletal2019/1862_20051122.csv,2005-11-22T10:27:26,2005-11-22T10:45:48,16,1920,04 55 48.8,43 41 28,1.108,0.158,1.13,13.6,23.4,s115271 s93101 s93101 sHYA64
1864,1971 FA,Daedalus,binzeletal2019/1864_20010329.csv,2001-03-29T09:48:11,2001-03-29T10:34:31,15,1800,12 04 57.5,01 09 22,1.056,0.892,1.886,16.4,4.3,-
1865,1971 UA,Cerberus,binzeletal2019/1865_20081031.csv,2008-10-31T07:10:59,2008-10-31T07:58:41,16,1920,+00 27 09.3,+06 46 02,1.057,0.46,1.412,16.9,20.2,-
1866,1972 XA,Sisyphus,binzeletal2019/1866_20061121.csv,2006-11-21T14:05:41,2006-11-21T15:20:33,16,1920,09 50 01.2,50 48 14,1.291,0.82,1.437,14.4,41.6,sHya64 sL115 sL93
1916,1953 RA,Boreas,binzeletal2019/1916_20010814.csv,2001-08-14T14:10:45,2001-08-14T14:43:27,15,1800,00 54 22.0,00 15 37,1.07,0.361,1.272,14.8,38.2,-
1917,1968 AA,Cuyo,binzeletal2019/1917_20080707.csv,2008-07-07T14:02:33,2008-07-07T14:32:18,16,1920,23 20 38.4,34 31 18,1.043,0.791,1.365,15.9,47.6,s107684 s110361 s115271
1943,1973 EC,Anteros,binzeletal2019/1943_20020112.csv,2002-01-12T12:25:31,2002-01-12T13:00:51,15,1800,07 58 44.8,00 40 48,1.154,0.499,1.459,15.9,14.4,-
1951,1949 OA,Lick,binzeletal2019/1951_20080707.csv,2008-07-07T11:00:25,2008-07-07T11:37:20,16,1920,19 18 45.2,36 52 32,1.051,0.453,1.306,14.7,42.1,s107684 s110361 s115271
